Review,Rating
"adminnya ramah, dibantuin buat pilih size dan request, thankiess",bintang 5
"jossss sesuai dengan gambar, cepat pengiriman nya",bintang 5
"Sudah 2x beli di toko ini, penjual tetap responsif, pengiriman cepat padahal dari surabaya ke palembang, sabtu pun tetap dikirim",bintang 5
"Packing bagus,  pengiriman cepat, tapi ada selesih nomor, pesan nmr 38.5 tapi yg datang 38. Tapi gak ap2 masih bisa dipakai. next klu tidak tersedia nmr yg di pesan, hara... ",bintang 4
None,bintang 5
puasss  barang bagus cepatttt,bintang 5
Gooddddds,bintang 5
Bahannya bagus original ditoko langganan pas juga dipake anak saya suka terima kasih,bintang 5
"Speedcat OG Black gokill, udah 2x beli di senikersku next akan order disini lagi, admin fast respond dan pengiriman ngebuttt, sepatu nyaman bahan suede kece abis, ukuran... ",bintang 5
"Barang Bagus sesuai deskripsi , Proses Cepatt ğŸ™",bintang 5
mantap cepat recommended,bintang 5
mantap cepat recommended,bintang 5
bagus,bintang 5
mantab,bintang 5
"sorry baru sempat kasi rating. untuk barang sudah sesuai deskripsi. pengantaran juga oke, tepat waktu",bintang 5
